judul,artis,lirik
Merapi Tak Pernah Ingkar Janji,Rubah Di Selatan,"1 Contributor
Merapi Tak Pernah Ingkar Janji Lyrics
Rubah Di Selatan - Merapi Tak Pernah Ingkar Janji
""Aku ora ngalahan tur yo ora pingin dikalahke
Nangin mesti tekan janjine
Mung nyuwun pangapuro nek ono sing ketabrak, keseret, kenter, kebanjiran lan klelep mergo ngalang-ngalangi dalan sing bakal, sing bakal tak lewati""
Kuterpikat
Paras anggun megahnya nuansamu
Kuterikat
Aksara indahkan setiap bahasamu
Kulantunkan
Tutur agung laraskan pijakanku
Bayang-bayangmu silau dan memukau sang matahari
Telusurmu perlihatkan fananya duniawi
Dan kini engkau tepati penuhi semua janji
Laramu menyala
Menikam yang kelaaam...
Kuterpikat...
Paras anggun megahnya nuansamu
Kuterikat...
Aksara indahkan setiap bahasamu
Kulantunkan...
Tutur agung laraskan pijakanku

Kuterpikat...
Paras anggun megahnya nuansamu
Kuterpikat...
Paras anggun megahnya nuansamu
Kuterikat...
Aksara indakan setiap bahasamu
Kulantunkan...
Tutur agung laraskan pijakanku
Kuterpikat...
""mingkar mingkuring ukara
Akarana karenan mardi siwi
Sinawung remining kidung
Sinuba sinukarta
Mrih kretarta pakartining ilmu luhung
Kang tumrap ing tanah Jawa
Agama agaming aji"""
Together,Janji,"2 Contributors
Together Lyrics
[Verse 1]
Your eyes, your smile
Oh how I wish that you could be here now
In this life, we are together
And I still hope that you'll be mine forever
[Chorus]
Even though you're far away
I still know we meet soon again
We are, we are, we are together
[Drop]
[Verse 2]
Every time I think of you and I
It takes me to a special place in my mind
Where we can be together
And I still hope that you'll be mine forever
[Chorus]
Even though you're far away
I still know we meet soon again
We are, we are, we are together
[Drop]
We are, we are, we are together
Even though you're far away
I still know we meet soon again
We are, we are
And I still hope that you'll be mine forever"
Biar Aku Yang Pergi,Aldy Maldini,"2 Contributors
Biar Aku Yang Pergi Lyrics
[Verse 1]
Tak ku sangka
Semua seperti ini
Semua yang indah
Berubah jadi sirna
[Verse 2]
Tak habis pikir
Kau tega seperti ini
Meninggalkan aku
Tanpa suatu kepastian
[Pre-Chorus]
Ku hanya bisa berharap
Kau bahagia di sana
Dengan dia pilihanmu
Walau dia sahabatku
[Chorus]
Biar aku yang pergi
Biar aku yang tersakiti
Biar aku yang berhenti
Berhenti mengharapkanmu
Oh Tuhan kuatkan aku
Menerima semua ini
Jika dia memang untukku
Kuharap kembalikan dia padaku

[Pre-Chorus]
Ku hanya bisa berharap
Kau bahagia di sana
Dengan dia pilihanmu
Walau dia sahabatku
[Chorus]
Biar aku yang pergi
Biar aku yang tersakiti
Biar aku yang berhenti
Berhenti mengharapkanmu
Oh Tuhan kuatkan aku
Menerima semua ini
Jika dia memang untukku
Kuharap kembalikan dia padaku
[Chorus]
Biar aku yang pergi
Biar aku yang tersakiti
Biar aku yang berhenti
Berhenti mengharapkanmu
Oh Tuhan kuatkan aku
Hoo hoo ooh
Jika dia memang untukku
Kuharap kembalikan dia padaku

[Chorus]
Biar aku yang pergi
Biar aku yang tersakiti
Biar aku yang berhenti
Aku yang berhenti (mengharapkanmu)
Oh Tuhan kuatkan aku
Kuatkan aku
Menerima semua ini
Jika dia memang untukku
Kuharap kembalikan dia padaku
[Outro]
Oh Tuhan kembalikan dia padaku"
Pergi Untuk Kembali,Marcello Tahitoe,"2 Contributors
Pergi Untuk Kembali Lyrics
[Verse 1]
Walaupun langit pada malam itu
Bermandikan cahaya bintang
Bulan pun bersinar, betapa indahnya
Namun menambah kepedihan, oh-oh-oh
[Pre-Chorus]
Ku akan pergi (Ku akan pergi)
Meninggalkan dirimu
Menyusuri liku hidupku
Janganlah kau bimbang
Dan janganlah kau ragu
Berikanlah senyuman padaku
[Chorus]
Selamat tinggal, kasih
Sampai kita jumpa lagi
Aku pergi takkan lama
Hanya sekejap saja
Ku akan kembali lagi
Asalkan engkau tetap menanti, yeah
[Verse 2]
Aku akan pergi (Ku akan pergi)
Meninggalkan dirimu
Menyusuri liku hidupku
Janganlah kau bimbang (Jangan)
Dan janganlah kau ragu
Berikanlah senyuman padaku (Uh-uh)

[Chorus]
Selamat tinggal, kasih
Sampai kita jumpa lagi (Uh-uh)
Aku pergi takkan lama (Uh-uh)
Hanya sekejap saja
Ku akan kembali lagi
Asalkan engkau tetap menanti
[Interlude]
Menanti (Uh-oh)
Aku pergi takkan lama
No
No, no, uh-uh
Oh, no, menanti
Asalkan engkau tetap menanti, uh-wo-ho
Asalkan engkau tetap menanti
[Outro]
Menanti
Menanti, uh-oh
Uh-uh, no, oh, menanti (Uh, menanti)
Uh, menanti
Huh-uh-uh-uh"
Pergi hilang dan lupakan,Remember Of Today,"4 Contributors
Pergi hilang dan lupakan Lyrics
Dunia hari ini begitu tak berarti
Tak berjalan cepat seolah tak peduli
Lambat laun ku bertahan dengan hari ini
Hari yang takkan pernah berakhir
Semua telah berubah sejalan dengan waktu
Setiap detik berharga bagiku
Waktu pun ingin kuubahKembali tertawa
Aku hanya bisa menangisAku tak bisa...
REFF:
Maafkanlah diriku
Atas semua kesalahan yang kuperbuat
Selama ini kepada dirimu
Aku berjanji akan melepasmu
Dengan senyuman yang akan kau ingat
Dan kau kenang sampai matiSelamanya...
Semua telah berubah sejalan dengan waktu
Setiap detik berharga bagiku
Waktu pun ingin kuubahKembali tertawa
Aku hanya bisa menangisAku tak bisa...
Back to REFF
Lupakanlah semua kenangan ini
Hancurkanlah semua mimpi-mimpi
Jangan pernah kembali
Dan takkan pernah kembali
Dan janganlah kau pernah berikan aku satu harapan
Dan karena ku ingin Pergi, hilang dan lupakan

Back to REFF
Selamanya...."
Saat Kau Pergi,Vagetoz,"1 Contributor
Saat Kau Pergi Lyrics
Saat kau pergi
Berlinanglah air mataku
Betapa singkat ku rasakan
Kebahagiaan itu
Kini lenyaplah sudah
Tak pernah ku inginkan
Perpisahan ini terjadi
Ku hanya bisa merelakan
Jika memang kau pikir
Ini lah yang terbaik
Reff:
Tak perlu kau beri alasan
Mengapa kau ingin pergi meninggalkan diriku
Karena ku yakin mungkin semuanya itu bisa
Membuatmu bahagia
Sepenuhnya ku menyadari
Bahwa cinta itu tak mesti harus memiliki
Namun ku akan terus selalu menyayangimu
Setulusnya hati
Tak pernah ku inginkan
Perpisahan ini terjadi
Betapa cinta ku rasakan
Kebahagiaan itu
Kini lenyaplah sudah

Repeat reff
Saat kau pergi
Berlinanglah air mataku"
Pergi Saja,Geisha,"1 Contributor
Pergi Saja Lyrics
Terima kasih tuk luka yang kau beri
Ku tak percaya kau tlah begini
Dulu kau menjadi malaikat di hati
Sampai hati kau telah begini
Berkali-kali kau katakan sendiri
Kini ku tlah benci
Cintaku telah pergi
Pergi saja kau pergi
Tak usah kembali
Percuma saja kini hanya mengundang perih
Cukup tahu ku dirimu
Cukup sakit ku rasakan kini
Janji yang selalu ku ingat hingga mati
Kau setia hingga ku kembali
Berkali-kali kau katakan sendiri
Kini ku tlah benci
Cintaku telah pergi
Pergi saja kau pergi
Tak usah kembali
Percuma saja kini hanya mengundang perih
Buang saja kau buang cinta yang kemarin
Perasaan tak mungkin percayamu lagi
Cukup tahu ku dirimu
Cukup sakit ku rasakan kini

Pergi saja kau pergi
Tak usah kembali
Percuma saja kini hanya mengundang perih
Buang saja kau buang cinta yang kemarin
Ooo... percayamu lagi
Tinggalkan saja diriku
Semua kan percuma
Cukup tahu ku dirimu
Cukup sakit ku rasakan kini"
Pergilah Kasih,Chrisye,"16 Contributors
Pergilah Kasih Lyrics
Tito Soemarsono
Tak pernah kusangka ini terjadi
Kisah cinta yang suci ini
Kau tinggalkan begitu saja
Sekian lamanya kita berdua
Tak kusangka cepat berlalu
Tuk mencari kesombi\ongan diri
Lupa segala yang pernah kau ucapkan
Kau tinggalkan daku
Pergilah kasih kejarlah keinginanmu
Selagi masih ada waktu
Aku rela berpisah demi untuk dirimu
Semoga tercapai segala keinginanmu"
Pergi Tanpa Pesan,The Panturas,"2 Contributors
Pergi Tanpa Pesan Lyrics
This song is an instrumental"
Saat Kau Pergi,Senja,"1 Contributor
Saat Kau Pergi Lyrics
[Verse]
Mencoba 'tuk melupakan semua tentang dirimu
Yang selalu menghantui setiap langkah hidupku
Semua sesal dalam hati karena cinta yang kurasa
Tak terukur dalamnya sampai saat kau pergi
[Chorus]
Tak terhitung
Air mata yang jatuh membasahi
Ku tak mampu menahan sakit ini
Terkhianati cinta yang kujalani
Menyakitkan
Mengapa semua harus terjadi
Di saat begitu dalam cinta ini
Tak ada jalan untuk kembali
[Instrumental Break]
[Chorus]
Tak terhitung
Air mata yang jatuh membasahi
Ku tak mampu menahan sakit ini
Terkhianati cinta yang kujalani
Menyakitkan
Mengapa semua harus terjadi
Di saat begitu dalam cinta ini
Tak ada jalan untuk kembali

[Outro]
Tak ada jalan
Untuk kembali"
Jangan Pernah Pergi,Alexa (Indonesia),"2 Contributors
Jangan Pernah Pergi Lyrics
[Lirik ""Jangan Pernah Pergi""]
[Verse 1]
Bersama rinduku, bersama rindumu
Bersama hatiku warnai langkahmu
Bersama denganmu arungi mimpiku
[Verse 2]
Bersama nafasku, bersama nafasmu
Bersama tubuhku rebahkan jiwamu
Bersama denganmu arungi mimpiku
[Pre-Chorus]
Kuberikan semua, oh
Hanya untukmu, oh oh
Hanya untukmu
[Chorus]
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Oh oh, oh oh, oh oh
Jangan pernah pergi dariku
[Verse 3]
Bersama nafasku, bersama nafasmu
Bersama tubuhku rebahkan jiwamu
Bersama denganmu arungi mimpiku

[Pre-Chorus]
Kuberikan semua, oh
Hanya untukmu, oh oh
Hanya untukmu
[Chorus]
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Oh oh, oh oh, oh oh
Jangan pernah pergi dariku
[Instrumental]
[Chorus]
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku
Jangan kau, jangan pernah
Jangan pergi, jangan pernah pergi dariku

[Outro]
Oh oh, oh oh, oh oh
Jangan pernah pergi dariku"
Jangan Pergi Lagi,Natasha Wilona,"3 Contributors
Jangan Pergi Lagi Lyrics
[Verse 1]
Larutku tersipu malu
Saat genggaman tanganmu
Lembut jamah jemariku
Melayangku jauh (melayangku jauh)
Meski ucapan mereka
Mencoba pisahkan kita
Semua takkan mampu
Hilangkan cintaku (hilangkan cintaku)
[Chorus]
Bahagianya hatiku
Hidupku tak lagi sendu
Waktu janganlah cepat berlalu
Ingin selalu dekatmu
Bahagianya hatiku
Kini rindu t'lah bertemu
Dengan kamu oh kekasih hati
Jangan pergi lagi
[Verse 2]
Meski ucapan mereka
Mencoba pisahkan kita
Semua takkan mampu
Hilangkan cintaku

[Chorus]
Bahagianya hatiku
Hidupku tak lagi sendu
Waktu janganlah cepat berlalu
Ingin selalu dekatmu
Bahagianya hatiku
Kini rindu t'lah bertemu
Dengan kamu oh kekasih hati
Jangan pergi lagi
[Bridge]
Segala rintangan
T'lah kita lalui
Jarak dan waktu pun kita lewati
Tetaplah di sini kasih
Menghadapi dunia
Dengan cinta (dengan cinta)
Kita bеrdua (kita berdua)
[Chorus]
Bahagianya hatiku
Hidupku tak lagi sendu
Waktu janganlah cepat bеrlalu
Ingin selalu dekatmu
Bahagianya hatiku
Kini rindu t'lah bertemu
Dengan kamu oh kekasih hati
Jangan pergi lagi

[Ending Tag]
Dengan kamu oh kekasih hati
Jangan pergi lagi"
Sebelah Mata,Efek Rumah Kaca,"5 Contributors
Sebelah Mata Lyrics
[Lirik ""Sebelah Mata""]
[Verse 1]
Sebelah mataku yang mampu melihat
Bercak adalah sebuah warna-warna mempesona
Membaur suara, dibawanya kegetiran
Begitu asing terdengar
[Verse 2]
Sebelah mataku yang mempelajari
Gelombang 'kan mengisi seluruh ruang tubuhku
Terbentuk dari sel akut, dan diabetes adalah
Sebuah proses yang alami
[Chorus]
Tapi sebelah mataku yang lain menyadari
Gelap adalah teman setia dari waktu-waktu yang hilang
[Verse 3]
Sebelah mataku yang mempelajari
Gelombang 'kan mengisi seluruh ruang tubuhku
Terbentuk dari sel akut, dan diabetes adalah
Sebuah proses yang alami
[Chorus]
Tapi sebelah mataku yang lain menyadari
Gelap adalah teman setia dari waktu-waktu yang hilang
Tapi sebelah mataku yang lain menyadari
Gelap adalah teman setia dari waktu-waktu yang hilang

[Instrumental]
[Outro]
Tapi sebelah mataku yang lain menyadari
Gelap adalah teman setia dari waktu-waktu yang hilang
Tapi sebelah mataku yang lain menyadari
Gelap adalah teman setia dari waktu-waktu yang hilang"
Desember,Efek Rumah Kaca,"6 Contributors
Desember Lyrics
[Lirik ""Desember""]
[Verse 1]
Selalu ada yang bernyanyi dan berelegi
Di balik awan hitam
Semoga ada yang menerangi sisi gelap ini
Menanti seperti pelangi setia
Menunggu hujan reda
[Chorus]
Aku selalu suka sehabis
Hujan di bulan Desember
Di bulan Desember
[Verse 2]
Selalu ada yang bernyanyi dan berelegi
Di balik awan hitam
Semoga ada yang menerangi sisi gelap ini
Menanti seperti pelangi setia
Menunggu hujan reda
[Chorus]
Aku selalu suka sehabis
Hujan di bulan Desember
Di bulan Desember

[Instrumental]
[Interlude]
Sampai nanti ketika hujan tak lagi meneteskan
Duka meretas luka sampai hujan
Memulihkan luka
[Chorus]
Aku selalu suka sehabis
Hujan di bulan Desember
Di bulan Desember
Karena aku selalu suka sehabis
Hujan di bulan Desember
Di bulan Desember
[Outro]
Seperti pelangi, setia
Menunggu hujan reda"
Rumah ke Rumah,Hindia,"17 Contributors
Rumah ke Rumah Lyrics
[Verse 1]
Menyesal, tak kusampaikan
Cinta monyetku
 ke Kanya dan Rebecca
Apa kabar kalian di sana?
Semoga hidup baik-baik saja
Tak belajar, terkena getahnya
Saat bersama Thanya dan Saphira
Kupercaya mungkin bukan jalannya
Namun kalian banyak salah juga
Jika dahulu ku tak cepat berubah
Ini maafku untukmu, Sharfina
Segala doa yang baik adanya
Untukmu dan mimpimu yang mulia
[Chorus]
Pindah berkala, rumah ke rumah
Berharap bisa berujung indah
Walau akhirnya harus berpisah
T'rima kasih kar'na ku tak mudah
Pindah berkala, rumah ke rumah
Berharap bisa berujung indah
Walau akhirnya harus berpisah
T'rima kasih kar'na ku tak mudah
[Verse 2]
Maaf jika ku sering buat susah
Indisya, Panda, Anggra, Caca, Sismita
P'rempuan terkuat dalam hidupku
Terjanglah apa pun yang kalian tuju
Kau datang saat gelapku merekah
Seluruh hatiku untukmu, Meidiana
Kau pantas dapatkan yang baik di dunia
S'moga kita bertahan lama

[Chorus]
Pindah berkala, rumah ke rumah
Mengambil pelajaran jika berpisah
Jikalau suatu saat berujung indah
Catat nama kita dalam sejarah
Pindah berkala, rumah ke rumah
Mengambil pelajaran jika berpisah
Jikalau suatu saat berujung indah
Catat nama kita dalam sejarah
[Bridge]
Letih mengembara, rumah ke rumah
Kadang ku lupa akanmu, 
Amalia
Siap sedia tiap ku bercerita
Ku beruntung jadi anakmu, Bunda
[Chorus]
Pindah berkala, rumah ke rumah
Selalu pada diri-Mu aku berserah
Jika ku disebut dalam sejarah
M'reka takkan lupa kar'na siapa
Pindah berkala, rumah ke rumah
Selalu pada diri-Mu aku berserah
Jika aku disebut dalam sejarah
M'reka takkan lupa kar'na siapa"
Seperti Rahim Ibu,Efek Rumah Kaca,"3 Contributors
Seperti Rahim Ibu Lyrics
[Verse 1]
Dengarlah nyanyi sunyiku
Bait risauku
Rindu terpendamku
Menyala dalam hayatku
Duka padamu
Luka padaku
Saling lebur
Menghalau awan mendung
[Pre-Chorus]
Kemanusiaan itu
Seperti terang pagi
[Chorus]
Merekahkan harapan
Menepis kabut kelam
[Verse 2]
Niatkan, tinju terkepal
Pekik menebal
Terjang aral
Pagi pasti terkejar
[Pre-Chorus]
Seandainya negeriku
Serupa rahim ibu

[Chorus]
Merawat kehidupan
Menguatkan yang rapuh
[Instrumental]
[Pre-Chorus]
Seandainya negeriku
Serupa rahim ibu
[Chorus]
Merawat kehidupan
Menguatkan yang rapuh
Merawat kehidupan
Menguatkan yang rapuh
[Outro]
Menjadi terang pagi
Menjelma rahim ibu
Menjadi terang pagi
Menjelma rahim ibu"
Putih,Efek Rumah Kaca,"6 Contributors
Putih Lyrics
[Lirik ""Putih""]
[Part 1: Tiada (Untuk Adi Amir Zainun)]
[Sung by Cholil Mahmud]
[Narrator by Adrian Yunan Faisal]
[Verse 1]
Saat kematian 
datang
Aku berbaring dalam mobil ambulan
Dengar, pembicaraan tentang pemakaman
Dan takdirku menjelang
Sirene berlarian bersahut-sahutan
Tegang, membuka jalan menuju Tuhan
Akhirnya aku usai juga
[Verse 2]
Saat berkunjung ke rumah
Menengok ke kamar ke ruang tengah
Hangat, menghirup bau masakan kesukaan
Dan tahlilan dimulai
Doa bertaburan terkadang tangis terdengar
Akupun ikut tersedu sedan
Akhirnya aku usai juga
Oh, kini aku lengkap sudah
[Chorus]
(
Laa ilaha illallah
)
 Dan kematian, keniscayaan
(
Laa ilaha illallah
)
 Di persimpangan, atau kerongkongan
(
Laa ilaha illallah
)
 Tiba-tiba datang, atau dinantikan
(
Laa ilaha illallah
)
 Dan kematian, kesempurnaan
(
Laa ilaha illallah
)
 Dan kematian hanya perpindahan
(
Laa ilaha illallah
)
 Dan kematian, awal kekekalan
(
Laa ilaha illallah
)
 Karena kematian untuk kehidupan tanpa kematian

[Part 2: Ada (Untuk Angan Senja, Rintik Rindu, dan Semua Harapan di Masa Depan)]
[Verse 1]
Lalu pecah tangis bayi
Seperti kata Wiji
Disebar biji-biji
Disemai menjadi api
[Verse 2]
Selamat datang di samudera
Ombak ombak menerpa
Rekah rekah dan berkahlah
Dalam dirinya, terhimpun alam raya semesta
Dalam jiwanya, berkumpul hangat surga neraka
[Verse 3]
Hingga kan datang pertanyaan
Segala apa yang dirasakan
Tentang kebahagian
Air mata bercucuran
[Verse 4]
Hingga kan datang ketakutan
Menjaga keterusterangan
Dalam lapar dan kenyang
Dalam gelap dan benderang

[Chorus]
Tentang akal dan hati
Rahasianya yang penuh teka-teki
Tentang nalar dan iman
Segala pertanyaan tak kunjung terpecahkan
Dan tentang kebenaran
Juga kejujuran
Takkan 
mati
 kekeringan
Esok kan bermekaran"
Kukira Kau Rumah,Amigdala,"2 Contributors
Kukira Kau Rumah Lyrics
[Verse 1]
Kau datang tatkala
Sinar senjaku telah redup
Dan pamit ketika
Purnamaku penuh seutuhnya
[Pre-Chorus]
Kau yang singgah tapi tak sungguh
Kau yang singgah tapi tak sungguh
[Chorus]
Kukira kau rumah
Nyatanya kau cuma aku sewa
Dari tubuh seorang perempuan
Yang memintamu untuk pulang
[Refrain]
Kau bukan rumah
Kau bukan rumah
Kau bukan rumah
Kau bukan rumah
[Interlude]
[Chorus]
Kukira kau rumah
Nyatanya kau cuma aku sewa
Dari tubuh seorang perempuan
Yang memintamu untuk pulang

[Refrain]
Kau bukan rumah
Kau bukan rumah
Kau bukan rumah
Kau bukan rumah
Kau bukan rumah
Kau bukan rumah
Kau bukan rumah
Kau bukan rumah"
Cinta Melulu,Efek Rumah Kaca,"5 Contributors
Cinta Melulu Lyrics
[Lirik ""Cinta Melulu""]
[Verse 1]
Nada-nada yang minor
Lagu perselingkuhan
Atas nama pasar semuanya begitu
Klise
[Verse 2]
Elegi patah hati
Ode pengusir rindu
Atas nama pasar semuanya begitu
Banal
[Chorus]
Oh ho, lagu cinta melulu
Kita memang benar-benar melayu
Suka mendayu-dayu
Lagu cinta melulu
Kita memang benar-benar melayu
Suka mendayu-dayu
Lagu cinta melulu
[Verse 3]
Elegi patah hati
Ode pengusir rindu
Atas nama pasar semuanya begitu
Banal

[Chorus]
Wo ho, lagu cinta melulu
Kita memang benar-benar melayu
Suka mendayu-dayu
Lagu cinta melulu
Apa memang karena kuping melayu?
Suka yang sendu-sendu
Lagu cinta melulu"
Kamar Gelap,Efek Rumah Kaca,"2 Contributors
Kamar Gelap Lyrics
[Lirik ""Kamar Gelap""]
[Verse 1]
Yang kau jerat adalah riwayat
Tidak punah jadi sejarah
Yang bicara adalah cahaya
Dikonstruksi, dikomposisi
[Pre-Chorus]
Padam semua lampu
Semua lampu
[Verse 2]
Yang bicara adalah cahaya
Dikonstruksi, dikomposisi
Yang kau jerat adalah riwayat
Tidak punah jadi sejarah
[Pre-Chorus]
Padam semua lampu
Semua lampu
[Chorus]
Membekukan yang cair
Mencairkan yang beku
Membekukan yang cair
Mencairkan yang beku

[Post-Chorus]
Jangan kabur berjamur
Jangan kabur berjamur
Segala negatif menuju positif
Kekal
[Instrumental]
[Chorus]
Membekukan yang cair
Mencairkan yang beku
[Post-Chorus]
Jangan kabur berjamur
Jangan kabur berjamur
Jangan kabur berjamur
Segala negatif menuju positif
Kekal"
Di Udara,Efek Rumah Kaca,"4 Contributors
Di Udara Lyrics
[Lirik ""Di Udara""]
[Verse 1]
Aku sering diancam
Juga teror mencekam
Kerap ku disingkirkan
Sampai di mana kapan
[Pre-Chorus]
Ku bisa tenggelam di lautan
Aku bisa diracun di udara
Aku bisa terbunuh di trotoar jalan
[Chorus]
Tapi aku tak pernah mati
Tak akan berhenti
[Verse 2]
Aku sering diancam
Juga teror mencekam
[Pre-Chorus]
Ku bisa dibuat menderita
Aku bisa dibuat tak bernyawa
Dikursilistrikkan ataupun ditikam

[Chorus]
Tapi aku tak pernah mati
Tak akan berhenti
Tapi aku tak pernah mati
Tak akan berhenti
[Pre-Chorus]
Ku bisa dibuat menderita
Aku bisa dibuat tak bernyawa
Dikursilistrikkan ataupun ditikam
Ku bisa tenggelam di lautan
Aku bisa diracun di udara
Aku bisa terbunuh di trotoar jalan
[Chorus]
Tapi aku tak pernah mati
Tak akan berhenti
Tapi aku tak pernah mati
Tak akan berhenti
Tapi aku tak pernah mati
Tak akan berhenti
Tapi aku tak pernah mati
Tak akan berhenti"
